课程名称,课程类别,讲师,课程级别,学习人数,评分,价格,用时,课程链接
纯正商业级应用 Node.js Koa2开发微信小程序服务端,前端开发,7七月,中级,425,99%,"
								￥366.00
							",18小时,https://coding.imooc.com//class/342.html
Angular打造企业级协作平台,前端开发,接灰的电子产品_,高级,759,99%,"
								￥288.00
							",18小时,https://coding.imooc.com//class/123.html
React源码深度解析 高级前端工程师必备技能,前端开发,Jokcy,高级,620,100%,"
								￥466.00
							",20小时,https://coding.imooc.com//class/309.html
5G时代必备技能 音视频WebRTC实时互动直播技术入门与实战,前端开发,音视频_李超,中级,302,100%,"
								￥288.00
							",18小时,https://coding.imooc.com//class/329.html
React16+Redux实战企业级大众点评Web App,前端开发,艾特老干部,中级,340,99%,"
								￥299.00
							",21小时,https://coding.imooc.com//class/313.html
全栈进阶课程 React16.8+Next.js+Koa2一步到位开发Github,前端开发,Jokcy,高级,138,100%,"
								￥399.00
							",19小时,https://coding.imooc.com//class/334.html
Koa2实现电影微信公众号前后端开发,前端开发,Scott,高级,191,90%,"
								￥288.00
							",15小时10分钟,https://coding.imooc.com//class/264.html
Vue2.5开发去哪儿网App 从零基础入门到实战项目,前端开发,DellLee,中级,5657,99%,"
								￥266.00
							",15小时,https://coding.imooc.com//class/203.html
React服务器渲染原理解析与实践,前端开发,DellLee,高级,493,99%,"
								￥266.00
							",10小时,https://coding.imooc.com//class/276.html
四大维度解锁Webpack3.0前端工程化,前端开发,qbaty,中级,1188,100%,"
								￥248.00
							",14小时,https://coding.imooc.com//class/171.html
ES6零基础教学 解析彩票项目,前端开发,快乐动起来呀,中级,2362,94%,"
								￥188.00
							",12小时 7分钟,https://coding.imooc.com//class/98.html
掌握Taro多端框架 快速上手小程序/H5开发,前端开发,水若寒宇,中级,235,100%,"
								￥266.00
							",14小时30分钟,https://coding.imooc.com//class/306.html
Vue核心技术Vue+Vue-Router+Vuex+SSR实战精讲,前端开发,Jokcy,高级,1881,94%,"
								￥366.00
							",15小时,https://coding.imooc.com//class/196.html
前端JavaScript面试技巧,前端开发,双越,初级,3844,98%,"
								￥149.00
							",11小时10分钟,https://coding.imooc.com//class/115.html
从基础到实战 手把手带你掌握新版Webpack4.0,前端开发,DellLee,中级,1212,99%,"
								￥299.00
							",17小时,https://coding.imooc.com//class/316.html
Vue2.0开发企业级移动端音乐Web App,前端开发,ustbhuangyi,高级,4259,98%,"
								￥399.00
							",20小时,https://coding.imooc.com//class/107.html
移动Web App开发之实战美团外卖,前端开发,吕小鸣,中级,251,100%,"
								￥299.00
							",16小时,https://coding.imooc.com//class/272.html
Web App用组件方式开发全站,前端开发,Lyn,高级,3120,98%,"
								￥78.00
							", 9小时,https://coding.imooc.com//class/15.html
React16+React-Router4 从零打造企业级电商后台管理系统,前端开发,Rosen,中级,658,99%,"
								￥348.00
							",16小时,https://coding.imooc.com//class/179.html
前端面试项目冲刺 京东金融Vue组件化实战,前端开发,铁狮子,中级,793,98%,"
								￥299.00
							",14小时,https://coding.imooc.com//class/175.html
Javascript设计模式系统讲解与应用,前端开发,双越,中级,844,98%,"
								￥288.00
							",11小时,https://coding.imooc.com//class/255.html
真实数据对接 从0开发前后端分离的企业级上线项目,前端开发,Rosen,中级,3477,99%,"
								￥299.00
							",20小时,https://coding.imooc.com//class/109.html
商业级支付宝小程序入门与实战,前端开发,风间影月,初级,188,98%,"
								￥299.00
							",18小时,https://coding.imooc.com//class/293.html
微信小程序入门与实战 常用组件API开发技巧项目实战,前端开发,7七月,初级,17618,99%,"
								￥149.00
							",14小时39分钟,https://coding.imooc.com//class/75.html
three.js打造微信爆款小游戏跳一跳,前端开发,千迦,高级,352,100%,"
								￥366.00
							",15小时,https://coding.imooc.com//class/282.html
腾讯大牛亲授 Web前后端漏洞分析与防御技巧,前端开发,TooooBug,中级,663,99%,"
								￥199.00
							",11小时19分钟,https://coding.imooc.com//class/104.html
Spring Boot仿抖音短视频小程序开发 全栈式实战项目,前端开发,风间影月,中级,1342,100%,"
								￥348.00
							",17小时,https://coding.imooc.com//class/217.html
微信分享与支付专项课程 （公众号 小程序（云））,前端开发,河畔一角,中级,64,100%,"
									原价￥288.00
								",16小时,https://coding.imooc.com//class/343.html
React全栈+服务器渲染(ssr)打造社区Webapp,前端开发,Jokcy,高级,709,100%,"
								￥348.00
							",14小时,https://coding.imooc.com//class/161.html
React16组件化+测试+全流程 实战在线账本项目,前端开发,张轩_Viking,中级,251,100%,"
								￥266.00
							",12小时,https://coding.imooc.com//class/302.html
Vue.js2.5+cube-ui重构饿了么App,前端开发,ustbhuangyi,中级,8039,97%,"
								￥198.00
							",25小时,https://coding.imooc.com//class/74.html
Vue全家桶+SSR+Koa2全栈开发美团网,前端开发,快乐动起来呀,中级,1591,98%,"
								￥388.00
							",17小时,https://coding.imooc.com//class/280.html
Node.js从零开发Web Server博客项目  前端晋升全栈工程师必备,前端开发,双越,中级,761,99%,"
								￥288.00
							",16小时,https://coding.imooc.com//class/320.html
React16.4开发简书项目 从零基础入门到实战 ,前端开发,DellLee,中级,2022,99%,"
								￥299.00
							",17小时,https://coding.imooc.com//class/229.html
前端跳槽必备 揭秘一线互联网公司高级前端JavaScript面试,前端开发,双越,高级,1233,96%,"
								￥366.00
							",16小时,https://coding.imooc.com//class/190.html
Koa2框架从0开始构建预告片网站,前端开发,Scott,中级,704,89%,"
								￥266.00
							",13小时,https://coding.imooc.com//class/178.html
前端跳槽面试必备技巧,前端开发,快乐动起来呀,中级,3799,99%,"
								￥266.00
							",14小时,https://coding.imooc.com//class/129.html
纯正商业级应用-微信小程序开发实战,前端开发,7七月,中级,2310,98%,"
								￥366.00
							",18小时20分钟,https://coding.imooc.com//class/251.html
微信小游戏入门与实战 刷爆朋友圈,前端开发,傅猿猿,初级,2652,97%,"
								￥99.00
							", 5小时11分钟,https://coding.imooc.com//class/183.html
Django2.0+小程序技术打造微信小程序助手,前端开发,咚咚呛,中级,335,99%,"
								￥266.00
							",13小时,https://coding.imooc.com//class/311.html
React新特性Hooks 重构去哪儿网火车票PWA,前端开发,茵风泳月,中级,69,100%,"
									原价￥299.00
								",17小时30分钟,https://coding.imooc.com//class/348.html
响应式开发一招致胜,前端开发,姜维_Wayne,初级,3776,97%,"
								￥128.00
							",10小时,https://coding.imooc.com//class/50.html
让你页面速度飞起来 Web前端性能优化,前端开发,千迦,中级,758,96%,"
								￥188.00
							",12小时,https://coding.imooc.com//class/130.html
JavaScript版 数据结构与算法,前端开发,快乐动起来呀,中级,1263,98%,"
								￥266.00
							",14小时,https://coding.imooc.com//class/315.html
全面系统讲解CSS工作应用+面试一步搞定,前端开发,TooooBug,初级,1163,98%,"
								￥149.00
							",11小时,https://coding.imooc.com//class/164.html
