URL,RoomName,RoomType,RoomClass,RoomSize,BedType,wheelchair,smoking,view
https://www.lesaintsulpice.com/en/our-suites/superior-suite,SUPERIOR SUITE,Suite,SUPERIOR,400 to 550 sq. ft,Queen Bed or King Bed,FALSE,unknown,unknown
https://www.lesaintsulpice.com/en/our-suites/deluxe-suite,Deluxe Suite,Suite,Deluxe,600 to 800 sq. ft,Queen Bed or King Bed,FALSE,unknown,unknown
https://www.lesaintsulpice.com/en/our-suites/executive-suite,Executive Suite,Suite,Executive,700 sq. ft,Queen Bed or King Bed,FALSE,unknown,unknown
https://www.lesaintsulpice.com/en/our-suites/signature-suite,Signature-Suite,Suite,Signature,1000sq. Ft,Queen Bed or King Bed,FALSE,unknown,unknown
https://en.palacehoteltokyo.com/room/deluxe-room/,Deluxe-Room,Room,Deluxe,45 m? / 485 ft??,King,FALSE,Smoking and non-smoking available,Imperial Palace and Otemon Gate
https://www.thegoring.com/our-rooms/superior-rooms/,SUPERIOR ROOMS,Room,Superior,25m? / 270? ft,super comfortable bed,FALSE,unkonw,unkonwn
https://wequassett.com/room/signature-collection-water-side/,Signature-Room,room,signature,562 SQ FT,Queen,FALSE,unkonw,unkonwn
https://www.hotelhasslerroma.com/en/accommodation/executive-suite/53-16/,EXECUTIVE SUITE,Suite,Executive?,60?sq.mt./645 sq.ft.,Unknown,FALSE,Non-smoking,City View
http://www.jkroma.com/en/superior-room.php,superior-room,Room,superior,26sqm/280sqf,Double,FALSE,unkonw,unkonw
https://www.lareserve-paris.com/en/luxury-hotel/presentation/luxury-accommodations/presidentiel-suite/,PRESIDENTIAL SUITE,Suite,presidential,120 or 140 sq.m,king,FALSE,unkonw,unkonw
https://www.coasthotels.com/hotels/washington/hotel-116-a-coast-hotel-bellevue/rooms/type/standard-room-doubledouble/,standard-room-doubledouble,Room,Standard,324 Sq. Ft.,Two double,FALSE,Non Smoking,unkonw
https://www.coasthotels.com/hotels/washington/hotel-116-a-coast-hotel-bellevue/rooms/type/standard-room-king/,standard room king,Room,Standard,324 Sq. Ft.,King,FALSE,Non Smoking,unkonw
https://www.coasthotels.com/hotels/washington/hotel-116-a-coast-hotel-bellevue/rooms/type/townhouse-loft-suite-king-non-smoking/,Townhouse Loft Suite King ,Suite,Suite,500 Sq. Ft.,King,FALSE,Non Smoking,unkonw
https://www.bellevueclubhotel.com/bellevue-hotel-rooms/club-double/,Club Double,Double,Club,540 SF,two queen,FALSE,unknown,unknown
https://www.bellevueclubhotel.com/bellevue-hotel-rooms/premier-single/,premier single,Single,premier,540 SF,Single King,FALSE,unknown,unknown
https://www.bellevueclubhotel.com/bellevue-hotel-rooms/premier-double/,premier double,Double,premier,540 SF,Double King,FALSE,unknown,unknown
https://www.bellevueclubhotel.com/bellevue-hotel-rooms/deluxe-single/,deluxe single,Single,Deluxe,520 SF,Single King,FALSE,unknown,unknown
https://www.bellevueclubhotel.com/bellevue-hotel-rooms/deluxe-double/,deluxe double,Double,Deluxe,520 SF,Double Queen,FALSE,unknown,unknown
https://www.bellevueclubhotel.com/bellevue-hotel-rooms/club-double/,Club Double,Double,Club,540 SF,Double Queen,FALSE,unknown,unknown
https://www.bellevueclubhotel.com/bellevue-hotel-rooms/rainier/,Rainier Suite,Suite,,1900 SF,,FALSE,unknown,unknown
https://www.accorhotels.com/gb/hotel-A580-fairmont-olympic-hotel-seattle/index.shtml#section-rooms,,,,,,,,
https://www.chc.gr/our-hotels-greece/heraklion/athina-palace/accommodation/promo-double-rooms.aspx,Promo Double,Double,,25-35 m2,Twin,FALSE,unknown,Land
https://www.chc.gr/our-hotels-greece/heraklion/athina-palace/accommodation/standard-double-rooms-25-30.aspx,Standard Double Rooms with land view,Double,Standard,25-30 m2,double or 2 twin beds,FALSE,unknown,Land
https://www.chc.gr/our-hotels-greece/heraklion/athina-palace/accommodation/standard-double-rooms-28-35.aspx,Standard Double Rooms with sea view,Double,Standard,28-35 m2,double or 2 twin beds,FALSE,unknown,Sea
https://www.chc.gr/our-hotels-greece/heraklion/athina-palace/accommodation/family-rooms-with-2-bedrooms.aspx,Family Rooms with 2 bedrooms,Family,Room,30-40 m2,two twin beds and one folding bed,FALSE,unknown,Sea
https://www.chc.gr/our-hotels-greece/heraklion/athina-palace/accommodation/family-rooms-with-2-bedrooms-maisonette-style.aspx,Family Rooms with 2 bedrooms Maisonnette style,Family,Room,30-40 m2,a twin bed and at the upper floor 1 couch and 1 folding bed ,FALSE,unknown,Sea
https://www.chc.gr/our-hotels-greece/heraklion/athina-palace/accommodation/junior-suites.aspx,Junior Suite,Suite,Junior,25-30 m2,double,FALSE,unknown,unknown
https://www.chc.gr/our-hotels-greece/heraklion/athina-palace/accommodation/vip-suites.aspx,VIP Suite,Suite,vip,35-40 m2,double,FALSE,unknown,Sea or Land
https://www.chc.gr/our-hotels-greece/heraklion/athina-palace/accommodation/vip-master-suites.aspx,VIP Master Suite,Suite,VIP Master,70-90m2,2 double,FALSE,unknown,Sea or Land
https://www.lacasaramirez.com/rooms-rates/rooms/4fff690e-39e5-4803-9c2b-74365f68aac9,Standard Room,Room,Standard,unknown,"2 Single(s), 1 Queen(s)",FALSE,unknown,unknown
https://www.lacasaramirez.com/rooms-rates/rooms/adaedb6f-9983-46ec-9a88-0fefb7bc6369,Dorm (Rose Quartz),Dormitory,unknown,49 sq m,14 Single(s),FALSE,unknown,unknown
https://www.lacasaramirez.com/rooms-rates/rooms/927c1d6b-c298-4507-8794-d7754d214d8c,Dorm (Citrine),Dormitory,unknown,22 sq m,11 Single(s),FALSE,unknown,unknown
